Amazon_id,Amazon Product Name,Amazon Price,Flipkart_id,Flipkart Product Name,Flipkart Price
c2d766ca982eca8304150849735ffef9,alisha solid women s cycling shorts,982,c2d766ca982eca8304150849735ffef9,alisha solid women s cycling shorts,999
7f7036a6d550aaa89d34c77bd39a5e48,fabhomedecor fabric double sofa bed,32143,7f7036a6d550aaa89d34c77bd39a5e48,fabhomedecor fabric double sofa bed,32157
f449ec65dcbc041b6ae5e6a32717d01b,aw bellies,991,f449ec65dcbc041b6ae5e6a32717d01b,aw bellies,999
0973b37acd0c664e3de26e97e5571454,alisha solid women s cycling shorts,694,0973b37acd0c664e3de26e97e5571454,alisha solid women s cycling shorts,699
bc940ea42ee6bef5ac7cea3fb5cfbee7,sicons all purpose arnica dog shampoo,208,bc940ea42ee6bef5ac7cea3fb5cfbee7,sicons all purpose arnica dog shampoo,220
c2a17313954882c1dba461863e98adf2,eternal gandhi super series crystal paper weights with silver finish,427,c2a17313954882c1dba461863e98adf2,eternal gandhi super series crystal paper weights with silver finish,430
ce5a6818f7707e2cb61fdcdbba61f5ad,alisha solid women s cycling shorts,1198,ce5a6818f7707e2cb61fdcdbba61f5ad,alisha solid women s cycling shorts,1199
8542703ca9e6ebdf6d742638dfb1f2ca,fabhomedecor fabric double sofa bed,32137,8542703ca9e6ebdf6d742638dfb1f2ca,fabhomedecor fabric double sofa bed,32157
29c8d290caa451f97b1c32df64477a2c,dilli bazaaar bellies corporate casuals casuals,682,29c8d290caa451f97b1c32df64477a2c,dilli bazaaar bellies corporate casuals casuals,699
4044c0ac52c1ee4b28777417651faf42,alisha solid women s cycling shorts,1197,4044c0ac52c1ee4b28777417651faf42,alisha solid women s cycling shorts,1199
e54bc0a7c3429da2ebef0b30331fe3d2,ladela bellies,1705,e54bc0a7c3429da2ebef0b30331fe3d2,ladela bellies,1724
c73e78fb440ff8972e0762daed4fc109,carrel printed women s,2281,c73e78fb440ff8972e0762daed4fc109,carrel printed women s,2299
9aacdecceb404c74abddc513fd2756a8,alisha solid women s cycling shorts,990,9aacdecceb404c74abddc513fd2756a8,alisha solid women s cycling shorts,999
83c53f8948f508f51d2249b489ca8e7d,freelance vacuum bottles 350 ml bottle,690,83c53f8948f508f51d2249b489ca8e7d,freelance vacuum bottles 350 ml bottle,699
d95b0456a0350bc42f2393c6e84b0f09,alisha solid women s cycling shorts,995,d95b0456a0350bc42f2393c6e84b0f09,alisha solid women s cycling shorts,999
849ab05698081a374215d0b7d18047d0,fabhomedecor fabric double sofa bed,32150,849ab05698081a374215d0b7d18047d0,fabhomedecor fabric double sofa bed,32157
c275ee5ac19f774a3ef7da71b40aabd8,style foot bellies,894,c275ee5ac19f774a3ef7da71b40aabd8,style foot bellies,899
4f3511c33a6869b1d5102cd97818ef00,carrel printed women s,2482,4f3511c33a6869b1d5102cd97818ef00,carrel printed women s,2499
7ee3e337474a29b38cfe1f5d4020d633,fabhomedecor fabric double sofa bed,32144,7ee3e337474a29b38cfe1f5d4020d633,fabhomedecor fabric double sofa bed,32157
7a7ba93ab20a2b50fd5a7dc74bcba063,dongli printed boy s round neck t shirt,2382,7a7ba93ab20a2b50fd5a7dc74bcba063,dongli printed boy s round neck t shirt,2400
9c26a5d85a59d6a34a199ae1df836ec3,swagga women clogs,1490,9c26a5d85a59d6a34a199ae1df836ec3,swagga women clogs,1500
20cf08ae845d5fd8f2b8cf52b3b9d840,kennel rubber dumbell with bell small rubber rubber toy for dog,185,20cf08ae845d5fd8f2b8cf52b3b9d840,kennel rubber dumbell with bell small rubber rubber toy for dog,190
